Epoch, training loss, validation loss, validation accuracy, ,,
534,0.180236,0.307033,0.916000, ,,
535,0.179962,0.307120,0.916000, ,,
536,0.179749,0.307181,0.916000, ,,
537,0.179506,0.307089,0.916000, ,,
538,0.179164,0.306920,0.916000, ,,
539,0.178978,0.306917,0.916000, ,,
540,0.178686,0.306936,0.916000, ,,
541,0.178388,0.306798,0.917000, ,,
542,0.178126,0.306715,0.916000, ,,
543,0.177864,0.306838,0.916000, ,,
544,0.177598,0.306696,0.916000, ,,
545,0.177311,0.306689,0.916000, ,,
546,0.177083,0.306863,0.916000, ,,
547,0.176828,0.306651,0.916000, ,,
548,0.176555,0.306517,0.916000, ,,
549,0.176250,0.306299,0.916000, ,,
550,0.176047,0.306316,0.916000, ,,
551,0.175759,0.306392,0.916000, ,,
552,0.175513,0.306377,0.916000, ,,
553,0.175238,0.306311,0.916000, ,,
554,0.174953,0.306194,0.916000, ,,
555,0.174734,0.306132,0.916000, ,,
556,0.174511,0.306323,0.916000, ,,
557,0.174235,0.306321,0.916000, ,,
558,0.173933,0.306110,0.916000, ,,
559,0.173680,0.305967,0.917000, ,,
560,0.173450,0.306064,0.916000, ,,
561,0.173206,0.306118,0.916000, ,,
562,0.172993,0.306097,0.916000, ,,
563,0.172617,0.306027,0.916000, ,,
564,0.172506,0.305680,0.916000, ,,
565,0.172277,0.305968,0.916000, ,,
566,0.171978,0.305779,0.915000, ,,
567,0.171669,0.305751,0.916000, ,,
568,0.171375,0.305784,0.916000, ,,
569,0.171132,0.305854,0.916000, ,,
570,0.170906,0.305701,0.916000, ,,
571,0.170701,0.305730,0.916000, ,,
572,0.170447,0.305770,0.915000, ,,
573,0.170138,0.305733,0.915000, ,,
574,0.169922,0.305610,0.916000, ,,
575,0.169614,0.305544,0.916000, ,,
576,0.169386,0.305602,0.916000, ,,
577,0.169118,0.305594,0.916000, ,,
578,0.168904,0.305464,0.916000, ,,
579,0.168612,0.305527,0.915000, ,,
580,0.168387,0.305447,0.915000, ,,
